producer,contact_name,street_address,city,province,postal_code,phone,fax,email,website,hours,brands
Vacheresse Meats,Bobby and Jean Vacheresse,24 St Andrews Street,Antigonish,Nova Scotia,B2G 2H1,1 (902) 863-3620,NULL,vacheressemeats@gmail.com,http://www.facebook.com/VacheresseMeats,Mondays to Thursdays : 9:00 am - 5:00 pm Fridays : 9:00 am - 7:00 pm Saturdays : 9:00 am - 12:00 pm,NULL
Valley Flaxflour Ltd,"Howard Selig, General Manager / Owner",188 Marshall Street,Middleton,Nova Scotia,B0S1P0,1 (902) 825-1528,1 (902) 825-6114,info@flaxflour.com,http://www.flaxflour.com,Monday to Friday 8:30 to 4:30,Valley Kitchen
Van Dyk's Health Juice Products Ltd.,Randy MacDonald,696 West Caledonia Road,Caledonia,Nova Scotia,B0T 1B0,1 (902) 542-4405,1 (902) 542-2346,info@vandykblueberries.ca,http://www.vandykblueberries.ca,NULL,Van Dyk's
Van Meekeren Farms Ltd.,Michael Van Meekeren,237 Thorpe Rd.,Lakeville,Nova Scotia,B4N 3V7,1 (902) 678-2366,1 (902) 678-8060,info@givethemawink.com,http://www.givethemawink.com,8:00 am - 4:00 pm week days.,"Wink, Pazazz, Red Prince, Wink Snacks"
VanOostrum Farms,NULL,RR#2 Berwick,Berwick,NULL,B0P 1E0,(902) 538-7716,NULL,buylocal@valleyselect.ca,http://valleyselect.ca/,NULL,NULL
Venedam Berry Farm,Calvin Venedam,601 Monks Head Road,Antigonish,NULL,B2G 2L4,NULL,NULL,venedamberryfarm@eastlink.ca,http://www.venedamberryfarm.ca,Berries available from July until frost,NULL
Virga Vodka,John Stapleton,75 Ferry Lane,Guysborough,Nova Scotia,B0H 1N0,1 (902) 533-3904,NULL,info@virgavodka.com,http://virgavodka.com,NULL,NULL
Vissers U-Pick,NULL,Highway 103,Newcombville,NULL,B4V 2W4,NULL,NULL,info@vissersfarm.ca,http://www.vissersfarm.ca/index.htm,Check their website for hours and season of operation.,NULL
Vista Bella Farm,Brenna Koneczny,2859 Malagash Road,Malagash,Nova Scotia,B0K 1E0,1 (902) 257-2288,(902) 257-2480,vbfarm@gmail.com,https://www.vistabellafarm.com/,U-PICK DATES run from first of September to the end of October on Saturday And Sunday from 10:00 to 5:00.  Sometimes into November-  we make arrangements for groups of 10 or more.,NULL
Vital Berry Farm,Margie Brown,366 Gibson Woods Road,Centreville,Nova Scotia,B0P 1J0,NULL,NULL,mbrown@mycountrymagic.com,http://www.mycountrymagic.com,"9 to 5, 6 days a week, Thursday through Tuesday; closed Wednesday",NULL
W.G. Oulton & Sons Ltd.,"Mike Oulton, Wayne Oulton","5246 Hwy 14, RR # 1",Windsor,NULL,B0N 2T0,1 (902) 798-4734,1 (902) 798-4734,ndoulton@ns.sympatico.ca,http://www.oultonsfarm.ca/index.html,Our Meatshop is open from 8 am to 5 pm Mondays to Saturdays  Meatshop inquires: call- 902 798 4734 during open hours,Martock Glen Farms (all government inspected)
Waldegrave Farm,Cammie Harbottle,11 Alex Cox Rd.,Tatamagouche,Nova Scotia,B0K 1V0,1 (902) 956-4764,NULL,cammie@waldegrave.org,http://www.waldegravefarm.com/,NULL,NULL
Watershed Farm,Camelia Frieberg,768 Allen Frausel Road,Baker Settlement,Nova Scotia,B4V 7H8,NULL,NULL,info@watershedfarm.org,http://www.watershedfarm.org,"We're open from June to October.  Please contact to be part of the CSA, pick-ups are on the South Shore and in Halifax.  Products also available at the Lunenburg and Bridgewater Farmers' Markets, and restaurants along the South Shore.    We also have many workshops throughout the year on the farm.  Please contact to arrange a farm visit.",NULL
Webster Farms Ltd,NULL,5859 Hwy 1,Cambridge Station,Nova Scotia,B0P 1G0,(902) 538-9492,NULL,webfarm@eastlink.ca,http://www.websterfarms.ca/,"November 1 - March 31: 8:00 am - 4:30 pm, Monday - Friday April 1 - October 31: 8:00 am - 5:30 pm, Monday - Friday",NULL
Wendell Smith,Wendell Smith,RR #3,Amherst,NULL,B4H 3Y1,1 (902) 447-3466,NULL,NULL,NULL,NULL,Maple Gold
Whippletree Farm & Forest,NULL,1515 Highway 201,Round Hill,Nova Scotia,B0S 1A0,1 (902) 532-0484,NULL,info@whippletreefarm.ca,http://www.whippletreefarm.ca,NULL,NULL
White Crow Cattle Company,Robert Crow,NULL,Brooklyn,Nova Scotia,b0n2a0,(902) 799-9470,NULL,brooklynhill@msn.com,NULL,8am-8pm daily,NULL
Wild Cranberry Hooked Rugs,Cynthia and Rod Beed,3816,Oxford,Nova Scotia,B0M 1P0,NULL,NULL,chewyjube27@gmail.com,https://www.etsy.com/ca/shop/WildCranberryHkdRugs,NULL,NULL
Wild Mountain Farm,Lance Bishop,8 Old Baxter's Mill Road,Canning,NULL,B0P 1H0,(902) 582-1208,NULL,lance@wildmountain.ca,http://www.wildmountain.ca,Our 100 % grass-fed beef and lamb cuts are available at the Wolfville Farmers' Market every Saturday morning.  You can also order custom boxes for pick up at the Market or at the farm.  We provide delivery through our monthly CSA/buying club drop-offs in HRM and other locations across the province.  Visit our website for more details about the farm and our healthy grass-fed products!,NULL
Wild Rose Farm,Gilberte & Siegmar Doelle,6804 Gilberts Cove RR 1,Plympton,Nova Scotia,B0W 2R0,1 (902) 837-4181,NULL,sissiboovet@eastlink.ca,http://wildrosefarmns.ca,Tuesday to Saturday 8 am - 5 pm.,NULL
Wile's Lake Farm Market & Bakery,Elspeth McLean-Wile,3254 HIGHWAY #325,Wileville,Nova Scotia,B4V 5G8,1 (902) 543-6082,NULL,info@wilesfarmmarket.com,http://www.wilesfarmmarket.com,"Seasonal operation, April 1-November 10, open 7 days a week.",NULL
Willow Pond Farm,Larry & Pat Ward,9276 Moose River Road,Middle Musquodoboit,NULL,B0N 1X0,(902) 384-2878,(902) 384-2373,larryward@xplornet.com,http://www.willowpondfarm.ca,Can contact us anytime,NULL
Willowbank U-Pick Farm & Equestrian Stable,Jay Johnson,110 Starr's Point Road,Port Williams,Nova Scotia,B0P 1T0,(902) 542-9153,NULL,u-pickfarm@hotmail.com,http://www.willowbankupick.com,"Come by to see our great Corn Maze, petting zoo and to enjoy some wagon and rides on weekends!  U-Pick apples (Gravensteins, Cortlands, MacIntosh), raspberries, plums, pears and pumpkin patch. Farm market September to October.  For all U-picks please call ahead for hours and season of operation.",NULL
Windy Mountain Road Farm,Wilma,530 Mountain Road,River John,Nova Scotia,B0K1N0,1 (902) 351-3183,NULL,wilma@professorasparagus.ca,http://professorasparagus.ca,Call to visit,NULL
Windy View Farm,NULL,229 Harmony Rd.,Kingston,NULL,B0S 1A0,1 (902) 765-3572,1 (902) 765-3571,sales@windyviewfarm.com,http://www.windyviewfarm.com,"Products sold at the Annapolis Royal Farmers' Market, and the Halifax Seaport Farmers' Market.",NULL
Wings of Dawn Organic Farm,NULL,10995 Highway 2,Masstown,Nova Scotia,B0M 1G0,1 (902) 814-3330,NULL,wingsofdawnfarmns@gmail.com,NULL,NULL,NULL
Withrow's Farm Market (Elmsdale),Sarah Withrow,1040 Hwy 214,Elmsdale,Nova Scotia,NULL,(902) 883-2698,(902) 632-2422,sarah.withrow@eastlink.ca,http://www.withrowsfarmmarket.ca,Monday-Sunday - 9AM-9PM Close December 22 - Mid April  The Elmsdale location also a features a on-site Meat Shop.  You can contact the Meat shop at 883-0483,NULL
Withrow's Farm Market (Mount Uniacke),Sarah Withrow,206 Hwy 1,Mount Uniacke,Nova Scotia,B0N 1Z0,(902) 866-1113,(902) 632-2422,sarah.withrow@eastlink.ca,http://www.withrowsfarmmarket.ca,Monday-Sunday 9AM-9PM Closes December 22 - Mid April,NULL
Wolfville Farmers' Market,Kelly Marie Redcliffe,24 Elm Avenue,Wolfville,Nova Scotia,B4P 1Z9,1 (902) 697-3344,NULL,manager@wolfvillefarmersmarket.ca,NULL,"Open Wednesdays and Saturdays in the Spring, Summer and Fall and only open Saturday's through the Winter.",NULL
Wood 'N Hart Farm,Bill Wood,"6220 Truro Rd, RR #4",Tatamagouche,NULL,B0K 1V0,1 (902) 657-3703,NULL,woodnhart.farm@ns.sympatico.ca,http://www.facebook.com/pages/WOOD-N-HART-FARM/313277467697,NULL,NULL
Woolies of Upperbrook Farm,Ruth or Greta Mathewson,989 Upper Brookside Road,Central North River,Nova Scotia,B6L 6W6,(902) 897-7708,NULL,ruth@woolies.ca,http://www.woolies.ca,By appointment.  We are a working farm so please call/text/email before stopping by if possible.,NULL
Wysmykal Farm,Charles Ryan and Jess Wysmyk,1121 Chapman Settlement Rd,Northport,Nova Scotia,B0L 1E0,1 (902) 661-3663,NULL,wysmykalfarm@gmail.com,http://www.wysmykalfarm.ca/,Community Shared Agriculture (CSA) program - weekly Certified Organic produce box for shareholders. Offering weekly share from late June until Christmas in Amherst region.,NULL
